model,seed,threshold_policy,selection_policy,level,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
CallGraph-GAT,42,max_f1,max_f1,contract,0.732,0.24,0.4,0.21212121212121213,0.4666666666666667,0.29166666666666663,0.3763440860215053,0.25284259655842856,0.6817765567765568,14,130,52,16,212,30,182,0.19402985074626866,0.19402985074626866,0.1897810218978102,0.13,0.13,0.083,0.8666666666666667,0.8666666666666667,0.9
CallGraph-GAT,42,high_recall,target_recall,contract,0.083,0.1656441717791411,0.9,0.1897810218978102,0.8666666666666667,0.31137724550898205,0.5058365758754864,0.25284259655842856,0.6817765567765568,26,71,111,4,212,30,182,0.19402985074626866,0.19402985074626866,0.1897810218978102,0.13,0.13,0.083,0.8666666666666667,0.8666666666666667,0.9
CallGraph-GAT,42,precision_focused,target_precision,contract,0.13,0.17567567567567569,0.8666666666666667,0.19402985074626866,0.8666666666666667,0.3170731707317074,0.5118110236220472,0.25284259655842856,0.6817765567765568,26,74,108,4,212,30,182,0.19402985074626866,0.19402985074626866,0.1897810218978102,0.13,0.13,0.083,0.8666666666666667,0.8666666666666667,0.9
CallGraph-GAT,43,max_f1,max_f1,contract,0.668,0.22826086956521738,0.7,0.23595505617977527,0.7,0.3529411764705882,0.5023923444976076,0.24613820700271585,0.6933150183150183,21,114,68,9,212,30,182,0.23595505617977527,0.1984126984126984,0.20422535211267606,0.668,0.641,0.213,0.7,0.8,0.9
CallGraph-GAT,43,high_recall,target_recall,contract,0.213,0.1569767441860465,0.9,0.20422535211267606,0.9666666666666667,0.3372093023255814,0.5534351145038168,0.24613820700271585,0.6933150183150183,29,69,113,1,212,30,182,0.23595505617977527,0.1984126984126984,0.20422535211267606,0.668,0.641,0.213,0.7,0.8,0.9
CallGraph-GAT,43,precision_focused,target_precision,contract,0.668,0.22826086956521738,0.7,0.23595505617977527,0.7,0.3529411764705882,0.5023923444976076,0.24613820700271585,0.6933150183150183,21,114,68,9,212,30,182,0.23595505617977527,0.1984126984126984,0.20422535211267606,0.668,0.641,0.213,0.7,0.8,0.9
CallGraph-GAT,44,max_f1,max_f1,contract,0.47000000000000003,0.16279069767441862,0.7,0.1926605504587156,0.7,0.30215827338129503,0.4585152838427947,0.23012165899674278,0.6687728937728937,21,94,88,9,212,30,182,0.1926605504587156,0.19402985074626866,0.18543046357615894,0.47000000000000003,0.088,0.017,0.7,0.8,0.9
CallGraph-GAT,44,high_recall,target_recall,contract,0.017,0.13989637305699482,0.9,0.18543046357615894,0.9333333333333333,0.30939226519337015,0.5166051660516605,0.23012165899674278,0.6687728937728937,28,59,123,2,212,30,182,0.1926605504587156,0.19402985074626866,0.18543046357615894,0.47000000000000003,0.088,0.017,0.7,0.8,0.9
CallGraph-GAT,44,precision_focused,target_precision,contract,0.007,0.13744075829383887,0.9666666666666667,0.1875,1.0,0.3157894736842105,0.5357142857142857,0.23012165899674278,0.6687728937728937,30,52,130,0,212,30,182,0.1926605504587156,0.19402985074626866,0.18543046357615894,0.47000000000000003,0.088,0.017,0.7,0.8,0.9
CallGraph-GAT,45,max_f1,max_f1,contract,0.751,0.20588235294117646,0.4666666666666667,0.2236842105263158,0.5666666666666667,0.32075471698113206,0.43367346938775514,0.20518463964005285,0.6688644688644688,17,123,59,13,212,30,182,0.1935483870967742,0.19205298013245034,0.19205298013245034,0.5760000000000001,0.17200000000000001,0.17200000000000001,0.7,0.9,0.9
CallGraph-GAT,45,high_recall,target_recall,contract,0.17200000000000001,0.14136125654450263,0.9,0.19205298013245034,0.9666666666666667,0.32044198895027626,0.5350553505535056,0.20518463964005285,0.6688644688644688,29,60,122,1,212,30,182,0.1935483870967742,0.19205298013245034,0.19205298013245034,0.5760000000000001,0.17200000000000001,0.17200000000000001,0.7,0.9,0.9
CallGraph-GAT,45,precision_focused,target_precision,contract,0.014,0.13333333333333333,1.0,0.17341040462427745,1.0,0.29556650246305416,0.5119453924914675,0.20518463964005285,0.6688644688644688,30,39,143,0,212,30,182,0.1935483870967742,0.19205298013245034,0.19205298013245034,0.5760000000000001,0.17200000000000001,0.17200000000000001,0.7,0.9,0.9
CallGraph-GAT,46,max_f1,max_f1,contract,0.731,0.25,0.5333333333333333,0.21518987341772153,0.5666666666666667,0.3119266055045872,0.4271356783919598,0.2033482262610134,0.6645604395604396,17,120,62,13,212,30,182,0.20279720279720279,0.20279720279720279,0.20279720279720279,0.095,0.095,0.095,0.9,0.9,0.9
CallGraph-GAT,46,high_recall,target_recall,contract,0.095,0.15428571428571428,0.9,0.20279720279720279,0.9666666666666667,0.3352601156069364,0.5513307984790874,0.2033482262610134,0.6645604395604396,29,68,114,1,212,30,182,0.20279720279720279,0.20279720279720279,0.20279720279720279,0.095,0.095,0.095,0.9,0.9,0.9
CallGraph-GAT,46,precision_focused,target_precision,contract,0.095,0.15428571428571428,0.9,0.20279720279720279,0.9666666666666667,0.3352601156069364,0.5513307984790874,0.2033482262610134,0.6645604395604396,29,68,114,1,212,30,182,0.20279720279720279,0.20279720279720279,0.20279720279720279,0.095,0.095,0.095,0.9,0.9,0.9
Pairwise-RGCN,42,max_f1,max_f1,contract,0.77,0.21428571428571427,0.4,0.22058823529411764,0.5,0.30612244897959184,0.398936170212766,0.20702107536825123,0.6600732600732601,15,129,53,15,212,30,182,0.192,0.19718309859154928,0.17901234567901234,0.193,0.033,0.004,0.7,0.8333333333333334,0.9
Pairwise-RGCN,42,high_recall,target_recall,contract,0.004,0.13366336633663367,0.9,0.17901234567901234,0.9666666666666667,0.3020833333333333,0.5141843971631206,0.20702107536825123,0.6600732600732601,29,49,133,1,212,30,182,0.192,0.19718309859154928,0.17901234567901234,0.193,0.033,0.004,0.7,0.8333333333333334,0.9
Pairwise-RGCN,42,precision_focused,target_precision,contract,0.999,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.20702107536825123,0.6600732600732601,0,180,2,30,212,30,182,0.192,0.19718309859154928,0.17901234567901234,0.193,0.033,0.004,0.7,0.8333333333333334,0.9
Pairwise-RGCN,43,max_f1,max_f1,contract,0.061,0.1503267973856209,0.7666666666666667,0.1796875,0.7666666666666667,0.2911392405063291,0.46370967741935487,0.20765999958875567,0.6631868131868132,23,77,105,7,212,30,182,0.1796875,0.1865671641791045,0.1724137931034483,0.061,0.035,0.001,0.7666666666666667,0.8,0.9
Pairwise-RGCN,43,high_recall,target_recall,contract,0.001,0.12162162162162163,0.9,0.1724137931034483,1.0,0.29411764705882354,0.5102040816326531,0.20765999958875567,0.6631868131868132,30,38,144,0,212,30,182,0.1796875,0.1865671641791045,0.1724137931034483,0.061,0.035,0.001,0.7666666666666667,0.8,0.9
Pairwise-RGCN,43,precision_focused,target_precision,contract,0.035,0.14814814814814814,0.8,0.1865671641791045,0.8333333333333334,0.3048780487804878,0.4921259842519685,0.20765999958875567,0.6631868131868132,25,73,109,5,212,30,182,0.1796875,0.1865671641791045,0.1724137931034483,0.061,0.035,0.001,0.7666666666666667,0.8,0.9
Pairwise-RGCN,44,max_f1,max_f1,contract,0.011,0.14754098360655737,0.9,0.19047619047619047,0.9333333333333333,0.3163841807909605,0.5243445692883895,0.2843444182608206,0.6994505494505494,28,63,119,2,212,30,182,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.011,0.011,0.011,0.9,0.9,0.9
Pairwise-RGCN,44,high_recall,target_recall,contract,0.011,0.14754098360655737,0.9,0.19047619047619047,0.9333333333333333,0.3163841807909605,0.5243445692883895,0.2843444182608206,0.6994505494505494,28,63,119,2,212,30,182,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.011,0.011,0.011,0.9,0.9,0.9
Pairwise-RGCN,44,precision_focused,target_precision,contract,0.011,0.14754098360655737,0.9,0.19047619047619047,0.9333333333333333,0.3163841807909605,0.5243445692883895,0.2843444182608206,0.6994505494505494,28,63,119,2,212,30,182,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.011,0.011,0.011,0.9,0.9,0.9
Pairwise-RGCN,45,max_f1,max_f1,contract,0.017,0.147239263803681,0.8,0.19285714285714287,0.9,0.3176470588235294,0.5192307692307693,0.24997343627669133,0.6613553113553113,27,69,113,3,212,30,182,0.19285714285714287,0.19285714285714287,0.17857142857142858,0.017,0.017,0.001,0.8,0.8,0.9333333333333333
Pairwise-RGCN,45,high_recall,target_recall,contract,0.001,0.1346153846153846,0.9333333333333333,0.17857142857142858,1.0,0.30303030303030304,0.5208333333333334,0.24997343627669133,0.6613553113553113,30,44,138,0,212,30,182,0.19285714285714287,0.19285714285714287,0.17857142857142858,0.017,0.017,0.001,0.8,0.8,0.9333333333333333
