run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
reentrancy_only,HyperVul native MIL,mil_topk,43,interaction,max_f1,max_f1,0.883,0.11965811965811966,0.5384615384615384,0.12195121951219512,0.5,0.19607843137254902,0.30864197530864196,0.19303793446232986,0.8139391056137013,10,979,72,10,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,43,interaction,high_recall,target_recall,0.512,0.03550295857988166,0.9230769230769231,0.04509283819628647,0.85,0.08564231738035265,0.1859956236323851,0.19303793446232986,0.8139391056137013,17,691,360,3,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,43,interaction,precision_focused,target_precision,0.848,0.10967741935483871,0.6538461538461539,0.09615384615384616,0.5,0.16129032258064518,0.27173913043478265,0.19303793446232986,0.8139391056137013,10,957,94,10,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,44,interaction,max_f1,max_f1,0.402,0.10738255033557047,0.6153846153846154,0.08108108108108109,0.45,0.13740458015267176,0.23560209424083772,0.12288046263527498,0.8025689819219791,9,949,102,11,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,44,interaction,high_recall,target_recall,0.14400000000000002,0.037267080745341616,0.9230769230769231,0.04838709677419355,0.9,0.09183673469387756,0.19911504424778761,0.12288046263527498,0.8025689819219791,18,697,354,2,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,44,interaction,precision_focused,target_precision,0.402,0.10738255033557047,0.6153846153846154,0.08108108108108109,0.45,0.13740458015267176,0.23560209424083772,0.12288046263527498,0.8025689819219791,9,949,102,11,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,45,interaction,max_f1,max_f1,0.529,0.11206896551724138,0.5,0.10975609756097561,0.45,0.1764705882352941,0.2777777777777778,0.12238445215356766,0.8123691722169363,9,978,73,11,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,45,interaction,high_recall,target_recall,0.149,0.0380952380952381,0.9230769230769231,0.04607046070460705,0.85,0.08740359897172237,0.1893095768374165,0.12238445215356766,0.8123691722169363,17,699,352,3,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,45,interaction,precision_focused,target_precision,0.483,0.1056338028169014,0.5769230769230769,0.10526315789473684,0.5,0.17391304347826086,0.2857142857142857,0.12238445215356766,0.8123691722169363,10,966,85,10,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,46,interaction,max_f1,max_f1,0.838,0.10948905109489052,0.5769230769230769,0.11842105263157894,0.45,0.1875,0.28846153846153844,0.13789244790417496,0.8110846812559467,9,984,67,11,1071,20,1051
